filename,top,Text
a12,588,"This work is supported by the Universitas Gy˝or Alapitv ´any in the framework T ´AMOP 4.1.1./A-10/1/KONV-2010-0005. This research was realized in the frames of T ´AMOP 4.2.4. A/1-11-1-2012-0001 “National Excel-lence Program—Elaborating and operating an inland student and researcher personal support system.” Theproject was subsidized by the European Union and coﬁnanced by the European Social Fund.Authors’ addresses: ´A. Csap´o, Budapest University of Technology, H-1117, Budapest, Magyar tud´osok krt 2,Hungary; G. Wers´enyi, Sz´echenyi Istv ´an University, H-9026, Gy˝or, Egyetem t´er 1, Hungary.Permission to make digital or hard copies of part or all of this work for personal or classroom use is grantedwithout fee provided that copies are not made or distributed for proﬁt or commercial advantage and thatcopies show this notice on the ﬁrst page or initial screen of a display along with the full citation. Copyrights forcomponents of this work owned by others than ACM must be honored. Abstracting with credit is permitted.To copy otherwise, to republish, to post on servers, to redistribute to lists, or to use any component of thiswork in other works requires prior speciﬁc permission and/or a fee. Permissions may be requested fromPublications Dept., ACM, Inc., 2 Penn Plaza, Suite 701, New York, NY 10121–0701 USA, fax + 1 (212)869–0481, or permissions@acm.org.c (cid:2) 2013 ACM 0360-0300/2013/11-ART19 $15.00DOI: http://dx.doi.org/10.1145/2543581.2543586"
a14,478,"General Terms: Algorithms, Economics"
a14,551,(cid:2)
a18,5240,Technique Papers CS A C I
a20,6207,m
a23,153,", National and Kapodistrian Universityof Athens"
a26,153,", Ben-Gurion University of the Negev, Israel , Tel-Aviv University, Israel"
a27,153,", Universit´e Paris-Sud, Universit´e Paris-Saclay , The University of Hong Kong , ´Ecole normale sup´erieure, PSL Research University and Inria Paris"
a27,551,"Reynold Cheng and Silviu Maniu were supported by the Research Grants Council of HK (Project HKU17205115 and 17229116) and HKU (Projects 102009508 and 104004129).Authors’ addresses: S. Maniu, Universit´e Paris-Sud, Universit´e Paris-Saclay, LRI, B ˆat. 650 (PCRI), Orsay,91405, France; email: silviu.maniu@lri.fr; R. Cheng, The University of Hong Kong, Department of ComputerScience, Chow Yei Ching Building, Pokfulam Road, Hong Kong, Hong Kong; email: ckcheng@cs.hku.hk;P. Senellart, ´Ecole normale sup´erieure, PSL Research University, DI/ENS, 45 rue d’Ulm, Paris, 75230,France; Inria Paris; email: pierre.senellart@ens.fr.Permission to make digital or hard copies of part or all of this work for personal or classroom use is grantedwithout fee provided that copies are not made or distributed for proﬁt or commercial advantage and thatcopies show this notice on the ﬁrst page or initial screen of a display along with the full citation. Copyrights for components of this work owned by others than ACM must be honored. Abstracting with credit is permitted. To copy otherwise, to republish, to post on servers, to redistribute to lists, or to use any component of thiswork in other works requires prior speciﬁc permission and/or a fee. Permissions may be requested fromPublications Dept., ACM, Inc., 2 Penn Plaza, Suite 701, New York, NY 10121-0701 USA, fax + 1 (212)869-0481, or permissions@acm.org.c (cid:2) 2017 ACM 0362-5915/2017/05-ART13 $15.00DOI: http://dx.doi.org/10.1145/3044713"
a30,4714,− (1 − / )
a30,6200,− 1
a30,6205,− 1
a31,263,. The debate over what constitutes a valid metric centers on software metrics validation criteria.The objective of this article is to guide researchers in making sound contributions to the ﬁeld of softwareengineering metrics by providing a practical summary of the metrics validation criteria found in the academicliterature.
a35,153,", Shandong University, China , Hefei University of Technology, China , National University of Singapore, Singapore"
a36,193,23
a36,394,"General Terms: Algorithms, Theory"
