pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
1,177,7,0,0,0,0,0,0,0,0,0,0,AFF,w w w . e l s e v i e r . e s / e r m b e,e11
1,276,6,0,0,0,0,0,0,0,0,1,0,AFF,"CDTN/CNEN – Center for Nuclear Technology Development, Brazilian Nuclear Energy Commission, POB 941, 30123-970 Belo Horizonte, MG, Brazil",e15
1,276,6,0,0,0,0,0,0,0,0,1,0,AFF,"LABCROM – Laboratory for Research on Liquid Chromatography, Institute of Chemistry, University of Campinas, POB 6154, 13084-971 Campinas, SP, Brazil",e15
1,314,8,0,0,0,0,0,0,0,0,0,0,AFF,a r t i c l e,e15
1,314,8,0,0,0,0,0,0,0,0,0,0,AFF,i n f o,e15
1,314,8,0,0,0,0,0,0,0,0,0,0,AFF,a b s t r a c t,e15
1,696,7,0,0,0,0,0,0,0,0,0,0,AFF,"In an earlier paper [22] we described the preparation of a newanion exchange stationary phase based on silica with a propylpyri-dinium group on the surface, obtained by chemical modiﬁcation ofsilica with 3-chloropropyltrimethoxysilane followed by function-alization with pyridinium groups, using a modiﬁcation of an earlierprocedure [2]. From the physical and chemical characterization ofthis new material, it was observed that the silylant agent is cova-",e15
1,177,7,0,0,0,0,0,0,0,0,0,0,AFF,w w w . e l s e v i e r . e s / e r m b e,e16
1,178,7,0,0,0,0,0,0,0,0,0,0,AFF,j o u r n a l h o m e p a g e : w w w . e l s e v i e r . c o m / l o c a t e / i n p a,e17
1,701,7,0,0,0,0,0,0,0,0,0,0,AFF,The genus of oyster mushroom,e17
1,701,7,0,0,0,0,0,0,0,0,1,0,AFF,Pleurotus,e17
1,701,7,0,0,0,0,0,0,0,0,0,0,AFF,spp. belongs toBasidiomycota division [1]. Some oyster mushrooms species,e17
1,679,7,0,0,0,0,0,0,0,0,0,0,AFF,found in eco-system on dead trunks in gardens wildly [2]. Cul-tivation of oyster mushroom is a biotechnological process forlignocellulosic wastes recycling. This current process has twotargets; the production of fresh food and the reduction of the,e17
1,679,7,0,0,0,0,0,0,0,0,0,0,AFF,environmental pollutants [3]. Although some physical andchemical factors are affecting on bioconversion efﬁciency of,e17
1,679,7,0,0,0,0,0,0,0,0,1,0,AFF,Pleurotus,e17
1,679,7,0,0,0,0,0,0,0,0,0,0,AFF,"spp. such as carbon and nitrogen sources [4], but this",e17
1,325,8,0,0,0,0,0,0,0,0,0,0,AFF,"Augmented reality is a technique which adds computer generated virtual objects into the real world scene. ARTAR proposes amethod to enhance the experience of paintings or artistic works by adding an extra level of perception through the inclusion ofsound, music, and animations. It contains two layers of perception, the physical appearance of the paintings perceived by nakedeye and an augmented layer containing animations and sounds which can be perceived by a mobile device. When an artwork isscanned using a predesigned mobile application certain image reference portions get animated along with some music and sound.In this work, a reference area is found in the input video frame using SURF detector and BRISK descriptor and the virtual object isplaced in the particular position. Experimental result shows that SURF-BRISK combination provides better result when comparedwith other detector descriptor combinations in case of ARTAR.c",e20
1,325,8,0,0,0,0,0,0,0,0,0,0,AFF,(cid:2),e20
1,325,8,0,0,0,0,0,0,0,0,0,0,AFF,2016 The Authors. Published by Elsevier Ltd.,e20
1,325,8,0,0,0,0,0,0,0,0,0,0,AFF,© 2016 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license(http://creativecommons.org/licenses/by-nc-nd/4.0/).,e20
1,325,8,0,0,0,0,0,0,0,0,0,0,AFF,Peer-review under responsibility of the organizing committee of ICETEST - 2015.,e20
1,325,8,0,0,0,0,0,0,0,0,0,0,AFF,Peer-review under responsibility of the organizing committee of ICETEST – 2015,e20
1,325,8,0,0,0,0,0,0,0,0,1,0,AFF,Keywords:,e20
2,1552,8,0,0,0,0,0,0,0,0,0,0,AFF,"We carried out an analysis, based on the characteristics",e21
2,1552,8,0,0,0,0,0,0,0,0,0,0,AFF,"of a recommender system, to give a comparison between bigdata and data warehouse with a dataset collected from Four-square users, using a qualitative approach. This paper isorganised as follows: Section 2 deals with literature review;Section 3 explains the challenges of the domain; Section 4",e21
2,1552,8,0,0,0,0,0,0,0,0,0,0,AFF,provides the objective of the paper; Section 5 details the,e21
1,181,8,0,0,0,0,0,0,0,0,0,0,AFF,journal homepage: http://www.elsevier.com/locate/ism,e22
