pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
1,265,10,0,0,0,0,0,0,0,0,0,0,AU,Marcos Vizcaíno-González,e11
1,265,10,0,0,0,0,0,0,0,0,0,0,AU,", Juan Pineiro-Chousa",e11
1,265,10,0,0,0,0,0,0,0,0,0,0,AU,", M. Ángeles López-Cabarcos",e11
1,254,10,0,0,0,0,0,0,0,0,0,0,AU,Fabiano Barbieri Gonzaga,e13
1,254,10,0,0,0,0,0,0,0,0,0,0,AU,", Sidney Pereira Sobral",e13
1,209,12,0,0,0,0,0,0,0,0,0,0,AU,Suryakant,e14
1,209,9,0,0,0,0,0,0,0,0,0,0,AU,∗,e14
1,209,12,0,0,0,0,0,0,0,0,0,0,AU,and Tripti Mahara,e14
1,255,10,0,0,0,0,0,0,0,0,0,0,AU,Lúcia M.L.A. Auler,e15
1,255,10,0,0,0,0,0,0,0,0,0,0,AU,", César R. Silva",e15
1,255,10,0,0,0,0,0,0,0,0,0,0,AU,", Carla B.G. Bottoli",e15
1,255,10,0,0,0,0,0,0,0,0,0,0,AU,", Carol H. Collins",e15
1,265,10,0,0,0,0,0,0,0,0,0,0,AU,Guadalupe Vila Vázquez,e16
1,265,10,0,0,0,0,0,0,0,0,0,0,AU,", Carmen Castro Casal y Dolores Álvarez Pérez",e16
1,271,10,0,0,0,0,0,0,0,0,0,0,AU,"Luiz Fernando S. Caldas, Daniel M. Brum, Carlos Eduardo R. de Paula, Ricardo J. Cassella",e18
1,230,9,0,0,0,0,0,0,0,0,0,0,AU,Yongho Kim and Eric T Matson,e19
1,221,12,0,0,0,0,0,0,0,0,0,0,AU,"Nithin G., Reshmi S. Bhooshan",e20
1,264,10,0,0,0,0,0,0,0,0,0,0,AU,Angel Barajas,e23
1,264,10,0,0,0,0,0,0,0,0,0,0,AU,", Dennis Coates",e23
1,264,10,0,0,0,0,0,0,0,0,0,0,AU,", Patricio Sanchez-Fernandez",e23
1,260,12,0,0,0,0,0,0,0,0,0,0,AU,"Natalija Koseleva*, Guoda Ropaite",e24
1,196,9,0,0,0,0,0,0,0,0,0,0,AU,Research Paper,e25
1,196,10,0,0,0,0,0,0,0,0,0,0,AU,Neelamegam Annamalai,e25
1,196,10,0,0,0,0,0,0,0,0,0,0,AU,", Huda Al-Battashi",e25
1,196,10,0,0,0,0,0,0,0,0,0,0,AU,", Saif Al-Bahry",e25
1,196,10,0,0,0,0,0,0,0,0,0,0,AU,", Nallusamy Sivakumar",e25
1,274,10,0,0,0,0,0,0,0,0,0,0,AU,Peter,e26
1,274,10,0,0,0,0,0,0,0,0,0,0,AU,Raus,e26
1,274,10,0,0,0,0,0,0,0,0,0,0,AU,",",e26
1,274,10,0,0,0,0,0,0,0,0,0,0,AU,Bharath,e26
1,274,10,0,0,0,0,0,0,0,0,0,0,AU,Raghuraman,e26
1,274,10,0,0,0,0,0,0,0,0,0,0,AU,Kumar,e26
1,274,10,0,0,0,0,0,0,0,0,0,0,AU,",",e26
1,274,10,0,0,0,0,0,0,0,0,0,0,AU,Martijn,e26
1,274,10,0,0,0,0,0,0,0,0,0,0,AU,Pinkse,e26
1,274,10,0,0,0,0,0,0,0,0,0,0,AU,",",e26
1,274,10,0,0,0,0,0,0,0,0,0,0,AU,Peter,e26
1,274,10,0,0,0,0,0,0,0,0,0,0,AU,Verhaert,e26
1,274,10,0,0,0,0,0,0,0,0,0,0,AU,*,e26
1,254,10,0,0,0,0,0,0,0,0,0,0,AU,Glenn D. Castle,e27
1,254,10,0,0,0,0,0,0,0,0,0,0,AU,", Graham A. Mills",e27
1,254,10,0,0,0,0,0,0,0,0,0,0,AU,", Adil Bakir",e27
1,254,10,0,0,0,0,0,0,0,0,0,0,AU,", Anthony Gravell",e27
1,254,10,0,0,0,0,0,0,0,0,0,0,AU,", Melanie Schumacher",e27
1,254,10,0,0,0,0,0,0,0,0,0,0,AU,",Ian Townsend",e27
1,254,10,0,0,0,0,0,0,0,0,0,0,AU,", Lewis Jones",e27
1,254,10,0,0,0,0,0,0,0,0,0,0,AU,", Richard Greenwood",e27
1,254,10,0,0,0,0,0,0,0,0,0,0,AU,", Stuart Knott",e27
1,254,10,0,0,0,0,0,0,0,0,0,0,AU,", Gary R. Fones",e27
1,210,10,0,0,0,0,0,0,0,0,0,0,AU,Oliver Zhen Li,e28
1,237,10,0,0,0,0,0,0,0,0,0,0,AU,", Ning Cai",e28
1,262,10,0,0,0,0,0,0,0,0,0,0,AU,Ezzeddine,e30
1,262,10,0,0,0,0,0,0,0,0,0,0,AU,Ben,e30
1,262,10,0,0,0,0,0,0,0,0,0,0,AU,Mohamed,e30
1,262,10,0,0,0,0,0,0,0,0,0,0,AU,",",e30
1,262,10,0,0,0,0,0,0,0,0,0,0,AU,Mohamed,e30
1,262,10,0,0,0,0,0,0,0,0,0,0,AU,Naceur,e30
1,262,10,0,0,0,0,0,0,0,0,0,0,AU,"Souissi,",e30
1,262,10,0,0,0,0,0,0,0,0,0,0,AU,Amel,e30
1,262,10,0,0,0,0,0,0,0,0,0,0,AU,"Baccar,",e30
1,262,10,0,0,0,0,0,0,0,0,0,0,AU,Abdelfettah,e30
1,262,10,0,0,0,0,0,0,0,0,0,0,AU,Bouri,e30
1,264,10,0,0,0,0,0,0,0,0,0,0,AU,Adriana D. Meinhart,e32
1,264,10,0,0,0,0,0,0,0,0,0,0,AU,", Cristiano A. Ballus",e32
1,264,10,0,0,0,0,0,0,0,0,0,0,AU,", Roy E. Bruns",e32
1,264,10,0,0,0,0,0,0,0,0,0,0,AU,", Juliana A. Lima Pallone",e32
1,264,10,0,0,0,0,0,0,0,0,0,0,AU,", Helena T. Godoy",e32
1,255,10,0,0,0,0,0,0,0,0,0,0,AU,", Chris D. Hewitt",e33
1,255,10,0,0,0,0,0,0,0,0,0,0,AU,", Francisco J. Doblas-Reyes",e33
1,255,10,0,0,0,0,0,0,0,0,0,0,AU,", Suraje Dessai",e33
1,265,10,0,0,0,0,0,0,0,0,0,0,AU,"Günther Eder,",e36
1,265,10,0,0,0,0,0,0,0,0,0,0,AU,Martin Held,e36
1,228,10,0,0,0,0,0,0,0,0,0,1,AU,Creating the Conversation,e37
1,244,9,0,0,0,0,0,0,0,0,0,1,AU,"The first article in this issue has several dimensions, all of them significant. “OnceMore, with Feeling: Design Thinking and Embodied Cognition” by Karin Lind-gaard and Heico Wesselius",e37
1,244,9,0,0,0,0,0,0,0,0,0,1,AU,"asks us to reconsider design thinking. What is designthinking, really? How can we account for it? And what—if anything—do our ac-counts have to do with how we use design thinking in a variety of contexts andapplications?",e37
1,263,10,0,0,0,0,0,0,0,0,0,0,AU,Jesús Barrena Martínez,e38
1,263,10,0,0,0,0,0,0,0,0,0,0,AU,", Macarena López Fernández, Pedro Miguel Romero Fernández",e38
1,197,9,0,0,0,0,0,0,0,0,0,0,AU,Erratum,e39
1,262,10,0,0,0,0,0,0,0,0,0,0,AU,Onur Akkaya,e40
1,227,10,0,0,0,0,0,0,0,0,0,1,AU,Conference Title,e41
1,235,11,0,0,0,0,0,0,0,0,0,0,AU,"Conference Organized by Interscience Institute of Management and Technology,",e42
1,212,11,0,0,0,0,0,0,0,0,0,0,AU,(ICCC-2014),e42
1,212,12,0,0,0,0,0,0,0,0,0,0,AU,(ICCC-2015),e42
1,258,11,0,0,0,0,0,0,0,0,0,0,AU,"Bhubaneswar, Odisha, India",e42
1,263,10,0,0,0,0,0,0,0,0,0,0,AU,Carmen García García,e43
