filename,top,Text
i1,114,"Received November 6, 2017, accepted December 3, 2017, date of publication December 11, 2017,date of current version February 14, 2018."
i1,136,Digital Object Identifier 10.1109/ACCESS.2017.2782260
i10,75,"IEEE/CAA JOURNAL OF AUTOMATICA SINICA, VOL. 5, NO. 1, JANUARY 2018 251"
i10,708,"Citation: D. M. Xiang, G. J. Liu, C. G. Yan, and C. J. Jiang, “Detectingdata-ﬂow errors based on Petri nets with data operations,” , vol. 5, no. 1, pp. 251 − 260, Jan. 2018."
i10,789,Digital Object Identiﬁer 10.1109/JAS.2017.7510766
i11,75,"IEEE/CAA JOURNAL OF AUTOMATICA SINICA, VOL. 5, NO. 1, JANUARY 2018 261"
i11,789,Digital Object Identiﬁer 10.1109/JAS.2017.7510769
i11,6209,"[1] C. R. Carignan and K. R. Cleary, “Closed-loop force control for hapticsimulation of virtual environments,” , vol. 1, no. 2, pp. 1 − 14, Jan. 2000."
i12,83,"IEEE TRANSACTIONS ON SUSTAINABLE ENERGY, VOL. 9, NO. 2, APRIL 2018 771"
i12,759,Digital Object Identiﬁer 10.1109/TSTE.2017.2761406
i13,114,"Received November 9, 2017, accepted December 12, 2017, date of publication December 27, 2017,date of current version February 14, 2018."
i13,136,Digital Object Identifier 10.1109/ACCESS.2017.2786681
i14,114,"Received October 30, 2017, accepted December 17, 2017, date of publication December 27, 2017,date of current version February 28, 2018."
i14,136,Digital Object Identifier 10.1109/ACCESS.2017.2787572
i14,6207,"[23] C. Zheng and J. Cao, ‘‘Robust synchronization of coupled neural networkswith mixed delays and uncertain parameters by intermittent pinning con-trol,’’ , vol. 141, pp. 153–159, Oct. 2014."
i15,83,SPECIAL SECTION ON INTELLIGENT SYSTEMS FOR THE INTERNET OF THINGS
i15,114,"Received November 9, 2017, accepted December 11, 2017, date of publication December 27, 2017,date of current version March 9, 2018."
i15,136,Digital Object Identifier 10.1109/ACCESS.2017.2785810
i16,114,"Received October 23, 2017, accepted November 29, 2017, date of publication December 27, 2017,date of current version February 14, 2018."
i16,136,Digital Object Identifier 10.1109/ACCESS.2017.2782678
i17,114,"Received November 19, 2017, accepted December 13, 2017, date of publication December 27, 2017,date of current version February 14, 2018."
i17,136,Digital Object Identifier 10.1109/ACCESS.2017.2785309
i19,114,"Received November 2, 2017, accepted December 6, 2017, date of publication December 28, 2017,date of current version March 13, 2018."
i19,136,Digital Object Identifier 10.1109/ACCESS.2017.2787783
i2,83,SPECIAL SECTION ON INTELLIGENT SYSTEMS FOR THE INTERNET OF THINGS
i2,114,"Received October 29, 2017, accepted December 1, 2017, date of publication December 12, 2017,date of current version February 14, 2018."
i2,136,Digital Object Identifier 10.1109/ACCESS.2017.2782733
i20,114,"Received November 12, 2017, accepted December 20, 2017, date of publication December 28, 2017,date of current version March 9, 2018."
i20,136,Digital Object Identifier 10.1109/ACCESS.2017.2787798
i21,114,"Received November 16, 2017, accepted December 20, 2017, date of publication December 29, 2017,date of current version March 13, 2018."
i21,136,Digital Object Identifier 10.1109/ACCESS.2017.2788057
i22,80,"1376 IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY, VOL. 13, NO. 6, JUNE 2018"
i22,759,online at http://ieeexplore.ieee.org.
i23,80,"356 IEEE/ACM TRANSACTIONS ON NETWORKING, VOL. 26, NO. 1, FEBRUARY 2018"
i24,114,"Received December 4, 2017, accepted December 29, 2017, date of publication January 1, 2018, date of current version March 9, 2018."
i24,127,Digital Object Identifier 10.1109/ACCESS.2017.2789165
i25,81,SPECIAL SECTION ON HUMAN-CENTERED SMART SYSTEMS AND TECHNOLOGIES
i25,114,"Received November 30, 2017, accepted December 26, 2017, date of publication January 2, 2018, date of current version March 19, 2018."
i25,127,Digital Object Identifier 10.1109/ACCESS.2017.2788443
i26,50,1077-2618/18©2018IEEEmarch/aprIl 2018  IEEE Industry Applications Magazine
i26,757,Digital Object Identifier 10.1109/MIAS.2017.2740444Date of publication: 3 January 2018
i27,81,SPECIAL SECTION ON TRUSTED COMPUTING
i27,114,"Received October 30, 2017, accepted December 1, 2017, date of publication January 3, 2018, date of current version March 9, 2018."
i27,127,Digital Object Identifier 10.1109/ACCESS.2017.2789301
i28,50,1077-2618/18©2018IEEEmarch/aprIl 2018  IEEE Industry Applications Magazine
i28,757,Digital Object Identifier 10.1109/MIAS.2017.2740472Date of publication: 3 January 2018
i29,80,"IEEE JOURNAL OF SOLID-STATE CIRCUITS, VOL. 53, NO. 4, APRIL 2018 1089"
i29,759,online at http://ieeexplore.ieee.org.
i3,81,SPECIAL SECTION ON SECURITY AND PRIVACY FOR VEHICULAR NETWORKS
i3,114,"Received October 29, 2017, accepted November 25, 2017, date of publication December 13, 2017, date of current version March 19, 2018."
i3,127,Digital Object Identifier 10.1109/ACCESS.2017.2782881
i30,69,"SPECIAL SECTION ON DATA-DRIVEN MONITORING, FAULT DIAGNOSIS AND CONTROLOF CYBER-PHYSICAL SYSTEMS"
i30,114,"Received November 27, 2017, accepted December 30, 2017, date of publication January 8, 2018, date of current version March 9, 2018."
i30,127,Digital Object Identifier 10.1109/ACCESS.2018.2790803
i31,80,"IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS, VOL. 5, NO. 1, MARCH 2018 9"
i31,759,Switzerland (e-mail: francois.grey@unige.ch).
i32,114,"Received November 27, 2017, accepted January 2, 2018, date of publication January 8, 2018, date of current version February 28, 2018."
i32,127,Digital Object Identifier 10.1109/ACCESS.2018.2790933
i32,6200,µ
i33,114,"Received November 24, 2017, accepted December 25, 2017, date of publication January 9, 2018, date of current version March 16, 2018."
i33,127,Digital Object Identifier 10.1109/ACCESS.2018.2791548
i33,6208,"[6] Q. Zhao and B. M. Sadler, ‘‘A survey of dynamic spectrum access,’’"
i34,114,"Received November 28, 2017, accepted December 29, 2017, date of publication January 9, 2018, date of current version March 9, 2018."
i34,127,Digital Object Identifier 10.1109/ACCESS.2018.2789400
i35,114,"Received December 1, 2017, accepted December 30, 2017, date of publication January 10, 2018, date of current version March 13, 2018."
