pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
1,256,8,0,0,0,0,0,0,0,0,0,0,AFF,"Department of Civil Engineering, Chungnam National University, Daejeon 34134, Korea;",m11
1,270,8,0,0,0,0,0,0,0,0,0,0,AFF,"mildface@naver.comSchool of Architecture, Chonnam National University, 77 Yongbong-ro, Buk-gu, Gwangju 61186, Korea;bylee@jnu.ac.kr",m11
1,304,8,0,0,0,0,0,0,0,0,0,0,AFF,"Department of Civil Engineering, Chungnam National University, Daejeon 34134, Korea",m11
1,304,8,0,0,0,0,0,0,0,0,0,0,AFF,Correspondence: yunkim@cnu.ac.kr; Tel.: +82-42-821-7004,m11
2,1552,8,0,0,0,0,0,0,0,0,0,0,AFF,PVA,m11
2,1552,8,0,0,0,0,0,0,0,0,0,0,AFF,1.3,m11
2,1552,8,0,0,0,0,0,0,0,0,0,0,AFF,12,m11
2,1526,8,0,0,0,0,0,0,0,0,0,0,AFF,µ,m11
2,1552,8,0,0,0,0,0,0,0,0,0,0,AFF,40,m11
2,1552,8,0,0,0,0,0,0,0,0,0,0,AFF,1560,m11
2,1552,8,0,0,0,0,0,0,0,0,0,0,AFF,41,m11
2,1552,8,0,0,0,0,0,0,0,0,0,0,AFF,6.5,m11
1,261,6,0,0,0,0,0,0,0,0,0,0,AFF,2,m13
1,261,6,0,0,0,0,0,0,0,0,0,0,AFF,3,m13
1,305,8,0,0,0,0,0,0,0,0,0,0,AFF,Received: 3 August 2017; Accepted: 6 September 2017; Published: 11 September 2017,m13
1,258,8,0,0,0,0,0,0,0,0,0,0,AFF,"Departments of Pediatrics, Pathology and Laboratory Medicine, Cincinnati Children’s Hospital Medical Center,University of Cincinnati College of Medicine, 3333 Burnet Avenue, Cincinnati, OH 45229-3039, USA;peter.tang@cchmc.org; Tel.: +1-(513)-636-7328; Fax: +1-(513)-636-8850",m14
1,272,8,0,0,0,0,0,0,0,0,0,0,AFF,"Department of Agricultural and Biosystems Engineering, Iowa State University, Ames, IA 50011, USA;",m15
1,279,8,0,0,0,0,0,0,0,0,0,0,AFF,"Wolfson Atmospheric Chemistry Laboratories, University of York, Heslington YO10 5DD, UK;",m16
1,259,8,0,0,0,0,0,0,0,0,0,0,AFF,"College of Engineering, Chubu University, 1200 Matsumoto-cho, Kasugai, Aichi 487-8501, Japan",m17
1,259,8,0,0,0,0,0,0,0,0,0,0,AFF,"College of Life and Health Sciences, Chubu University, 1200 Matsumoto-cho, Kasugai, Aichi 487-8501, Japan;",m17
1,237,8,0,0,0,0,0,0,0,0,0,0,AFF,"Department of Electrical and Electronic Engineering, Tokyo Metropolitan University, 1-1 Minami-osawa,Hachioji 192-0397, Japan; mizugu@tmu.ac.jp",m18
1,216,8,0,0,0,0,0,0,0,0,0,0,AFF,"Division of Life Science and Applied Genomics Center, Hong Kong University of Science and Technology,Clear Water Bay, Hong Kong, China; hycab@ust.hk",m19
1,216,8,0,0,0,0,0,0,0,0,0,0,AFF,Correspondence: hxue@ust.hk; Tel.: +852-2358-8707,m19
1,259,8,0,0,0,0,0,0,0,0,0,0,AFF,Academic Editor: Alain BerthodReceived: 27 July 2016; Accepted: 11 October 2016; Published: 1 November 2016,m19
1,292,8,0,0,0,0,0,0,0,0,0,0,AFF,"Department of Applied Chemistry and Chemical Engineering, University of Dhaka, Dhaka 1000, Bangladesh",m20
1,292,8,0,0,0,0,0,0,0,0,0,0,AFF,"Department of Applied Chemistry and Biochemistry, Kumamoto University, 2-39-1 Kurokami, Chuo-ku,Kumamoto 860-8555, Japan; Hiroki_Noguchi@kumadai.jp (H.N.); 122d9104@st.kumamoto-u.ac.jp (Y.H.);kuwahara@kumamoto-u.ac.jp (Y.K.); takafuji@kumamoto-u.ac.jp (M.T.)",m20
1,341,8,0,0,0,0,0,0,0,0,0,0,AFF,"Kumamoto Institute for Photo-Electro Organics (Phoenics), 3-11-38 Higashimachi, Higashi-ku,",m20
1,217,8,0,0,0,0,0,0,0,0,0,0,AFF,"Energy Department, Politecnico di Torino, Corso Duca degli Abruzzi 24, 10129 Turin, Italy;vittorio.verda@polito.it",m21
1,217,8,0,0,0,0,0,0,0,0,0,0,AFF,Correspondence: elisa.guelpa@polito.it,m21
1,218,8,0,0,0,0,0,0,0,0,0,0,AFF,"Department of Mathematics, COMSATS Institute of Information Technology, Park Road, Chak Shahzad,",m23
1,259,8,0,0,0,0,0,0,0,0,0,0,AFF,"Islamabad 44000, Pakistan; idreesafridi313@gmail.com (M.I.A.); mq_qau@yahoo.com (M.Q.)Basic Engineering Sciences Department, College of Engineering, Majmaah University, Majmaah 11952,Saudi Arabia",m23
