filename,top,Text
s12,927,8
s13,927,1
s14,82,"Zhu et al. Chemistry Central Journal 2014, 8 :67http://journal.chemistrycentral.com/content/8/1/67"
s14,707,"* Correspondence: xphe@ecust.edu.cn; ytlong@ecust.edu.cn Equal contributors Key Laboratory for Advanced Materials & Institute of Fine Chemicals, EastChina University of Science and Technology, 130 Meilong Rd, Shanghai200237, PR China"
s14,926,8
s16,4714,Competing interests The authors declare that they have no competing interests.
s17,83,Ghasemzadeh et al. Chemistry Central Journal  (2018) 12:12 https://doi.org/10.1186/s13065-018-0377-6
s17,140,Open Access
s18,83,Badshah et al. Chemistry Central Journal  (2018) 12:13 https://doi.org/10.1186/s13065-018-0383-8
s18,140,Open Access
s19,83,J Nanostruct Chem (2016) 6:357–364DOI 10.1007/s40097-016-0207-0
s20,5239,"16. Williams ST, Sharpe ME, Holt JG (1989) Bergey's manual of systematic"
s21,83,Boobier et al. J Cheminform  (2017) 9:63 https://doi.org/10.1186/s13321-017-0250-y
s21,140,Open Access
s22,83,Appl Petrochem Res (2016) 6:269–277DOI 10.1007/s13203-016-0159-9
s23,83,Appl Petrochem Res (2015) 5:71–80DOI 10.1007/s13203-014-0090-x
s24,341,− 1
s25,83,Dong et al. Bioresour. Bioprocess.  (2017) 4:47 DOI 10.1186/s40643-017-0177-1
s25,140,Open Access
s26,82,"Krawczuk and Macchi Chemistry Central Journal 2014, 8 :68http://journal.chemistrycentral.com/content/8/1/68"
s26,707,"* Correspondence: krawczuk@chemia.uj.edu.pl; piero.macchi@dcb.unibe.ch Faculty of Chemistry, Jagiellonian University, Ingardena 3, Krakow, 30-060, Poland Department of Chemistry and Biochemistry, University of Bern, Freiestrasse 3,Bern, 3012, Switzerland"
s26,926,8
s27,83,Skinnider et al. J Cheminform  (2017) 9:46 DOI 10.1186/s13321-017-0234-y
s27,140,Open Access
s27,6206,ECFP6
s28,82,"Lichawska et al. Chemistry Central Journal 2014, 8 :50http://journal.chemistrycentral.com/content/8/1/50"
s28,926,8
s29,83,Gupta et al. Bioresour. Bioprocess.  (2016) 3:28 DOI 10.1186/s40643-016-0105-9
s29,140,Open Access
s29,6204,"electrode material for electrochemical double layer capacitor. J PowerSources 262:224–231 Fulekar MH, Geetha M (2008) Bioremediation of Chlorpyrifos by using scale up technique. J Appl Biosci 12:657–660Gamby J, Taberna PL, Simon P, Fauvarque JF, Chesneau M (2001) Studies andcharacterisations of various activated carbons used for carbon/carbonsupercapacitors. J Power Sources 101:109–116"
s30,83,Appl Petrochem Res (2016) 6:389–395DOI 10.1007/s13203-016-0165-y
s31,83,Hussain et al. Bioresour. Bioprocess.  (2017) 4:26 DOI 10.1186/s40643-017-0156-6
s31,140,Open Access
s31,6204,"Saxena J, Choudhary S, Pareek S, Choudhary AK, Iquebal MA (2015) Recycling"
s32,83,Weldegebreal et al. Chemistry Central Journal  (2017) 11:126 https://doi.org/10.1186/s13065-017-0356-3
s32,140,Open Access
s32,6207,antioxidant activity of coffee. Am J Appl Chem 3:69–76
s33,83,Appl Petrochem Res (2015) 5:277–284DOI 10.1007/s13203-015-0129-7
s34,83,Appl Petrochem Res (2015) 5:173–180DOI 10.1007/s13203-015-0098-x
s35,83,Appl Petrochem Res (2017) 7:151–160https://doi.org/10.1007/s13203-017-0188-z
s35,519,d Mi Ti
s36,83,Darwish et al. Chemistry Central Journal  (2016) 10:57 DOI 10.1186/s13065-016-0203-y
s36,140,Open Access
s36,550,The authors declare that they have no competing interests.
s36,683,Reference
s37,83,J Nanostruct Chem (2015) 5:39–44DOI 10.1007/s40097-014-0129-7
s38,82,"Liu et al. Chemistry Central Journal 2014, 8 :43http://journal.chemistrycentral.com/content/8/1/43"
s38,341,+ + 2 − 2 2 (cid:129) -
s38,926,8
s39,83,Guha and Willighagen J Cheminform  (2017) 9:40 DOI 10.1186/s13321-017-0217-z
s39,140,Open Access
s40,83,Shah et al. Chemistry Central Journal  (2016) 10:80 DOI 10.1186/s13065-016-0227-3
s40,140,Open Access
s41,83,Appl Petrochem Res (2015) 5:363–369DOI 10.1007/s13203-015-0111-4
s42,83,Peng et al. J Cheminform  (2016) 8:53 DOI 10.1186/s13321-016-0165-z
s42,140,Open Access
s43,83,J Nanostruct Chem (2017) 7:113–119DOI 10.1007/s40097-017-0228-3
s43,517,2 - 4
s44,83,Amer et al. Chemistry Central Journal  (2017) 11:136 https://doi.org/10.1186/s13065-017-0365-2
s44,140,Open Access
s46,83,Appl Petrochem Res (2015) 5:393–404DOI 10.1007/s13203-015-0121-2
s47,927,1
s48,83,Yu et al. Bioresour. Bioprocess.  (2017) 4:33 DOI 10.1186/s40643-017-0164-6
s48,140,Open Access
s49,83,Mauri et al. J Cheminform  (2016) 8:49 DOI 10.1186/s13321-016-0159-x
s49,140,Open Access
s50,83,Kapahi and Sachdeva Bioresour. Bioprocess.  (2017) 4:32 DOI 10.1186/s40643-017-0162-8
s50,140,Open Access
s50,6204,consumed in Italy. Food Chem 73:321–325
