pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
1,84,8,0,1,0,0,0,0,0,0,0,0,BODY,Ma,s11
1,84,8,0,0,0,0,0,0,0,0,1,0,BODY,et al. J Cheminform  (2015) 7:53,s11
1,84,8,0,0,0,0,0,0,0,0,0,0,BODY,DOI 10.1186/s13321-015-0104-4,s11
1,143,13,0,0,0,0,0,0,0,0,0,1,BODY,RESEARCH ARTICLE,s11
1,142,13,0,0,0,0,0,0,0,0,0,1,BODY,Open Access,s11
1,171,24,0,0,0,0,0,0,0,0,0,0,TI,An in silico MS/MS library for automaticannotation of novel FAHFA lipids,s11
1,171,11,0,0,0,0,0,0,0,0,0,0,AU,Yan Ma,s11
1,171,7,0,0,0,0,0,0,0,0,0,0,BODY,1,s11
1,171,11,0,0,0,0,0,0,0,0,0,0,AU,", Tobias Kind",s11
1,171,7,0,0,0,0,0,0,0,0,0,0,BODY,1,s11
1,171,11,0,0,0,0,0,0,0,0,0,0,AU,", Arpana Vaniya",s11
1,171,7,0,0,0,0,0,0,0,0,0,0,BODY,1,s11
1,171,11,0,0,0,0,0,0,0,0,0,0,AU,", Ingrid Gennity",s11
1,171,7,0,0,0,0,0,0,0,0,0,0,BODY,1,s11
1,171,11,0,0,0,0,0,0,0,0,0,0,AU,", Johannes F. Fahrmann",s11
1,171,7,0,0,0,0,0,0,0,0,0,0,BODY,1,s11
1,171,11,0,0,0,0,0,0,0,0,0,0,AU,and Oliver Fiehn,s11
1,171,7,0,0,0,0,0,0,0,0,0,0,BODY,"1,2*",s11
1,275,10,0,0,0,0,0,0,0,0,0,1,BODY,Abstract,s11
1,275,10,0,0,0,0,0,0,0,0,0,1,BODY,Background:,s11
1,275,10,0,0,0,0,0,0,0,0,0,0,BODY,"A new lipid class named ‘fatty acid esters of hydroxyl fatty acids’ (FAHFA) was recently discovered inmammalian adipose tissue and in blood plasma and some FAHFAs were found to be associated with type 2 diabetes.To facilitate the automatic annotation of FAHFAs in biological specimens, a tandem mass spectra (MS/MS) library is",s11
1,275,9,0,0,0,0,0,0,0,0,0,0,BODY,"needed. Due to the limitation of the commercial available standard compounds, we proposed building an in silico",s11
1,275,10,0,0,0,0,0,0,0,0,0,0,BODY,MS/MS library to extend the coverage of molecules.,s11
1,353,10,0,0,0,0,0,0,0,0,0,1,BODY,Results:,s11
1,353,10,0,0,0,0,0,0,0,0,0,0,BODY,"We developed a computer-generated library with 3267 tandem mass spectra (MS/MS) for 1089 FAHFA spe-cies. FAHFA spectra were generated based on authentic standards with negative mode electrospray ionization and 10,20, and 40 V collision induced dissociation at 4 spectra/s as used in in ultra-high performance liquid chromatography-QTOF mass spectrometry studies. However, positional information of the hydroxyl group is only obtained either atlower QTOF spectra acquisition rates of 1 spectrum/s or at the MS",s11
1,353,7,0,0,0,0,0,0,0,0,0,0,BODY,3,s11
1,353,10,0,0,0,0,0,0,0,0,0,0,BODY,"level in ion trap instruments. Therefore, an addi-tional set of 4290 fragment-rich MS/MS spectra was created to enable distinguishing positional FAHFA isomers. Thelibrary was generated based on ion fragmentations and ion intensities of FAHFA external reference standards, devel-oping a heuristic model for fragmentation rules and extending these rules to large swaths of computer-generatedstructures of FAHFAs with varying chain lengths, degrees of unsaturation and hydroxyl group positions. Subsequently,we validated the new in silico library by discovering several new FAHFA species in egg yolk, showing that this libraryenables high-throughput screening of FAHFA lipids in various biological matrices.",s11
1,488,10,0,0,0,0,0,0,0,0,0,1,H1,Conclusions:,s11
1,488,10,0,0,0,0,0,0,0,0,0,0,KW,The developed library and templates are freely available for commercial or noncommercial use athttp://fiehnlab.ucdavis.edu/staff/yanma/fahfa-lipid-library. This in silico MS/MS library allows users to annotate FAHFAsfrom accurate mass tandem mass spectra in an easy and fast manner with NIST MS Search or PepSearch software.The developing template is provided for advanced users to modify the parameters and export customized librariesaccording to their instrument features.,s11
1,551,10,0,0,0,0,0,0,0,0,0,1,KW,Keywords:,s11
1,551,10,0,0,0,0,0,0,0,0,0,0,BODY,"In silico library, MS/MS, Lipids, FAHFA",s11
1,585,10,0,0,0,0,0,0,0,0,0,1,BODY,Background,s11
1,585,9,0,0,0,0,0,0,0,0,0,0,BODY,"Recently,  a  novel  lipid  class  named  ‘fatty  acid  esters  ofhydroxyl  fatty  acids’  (FAHFA)  was  discovered  in  miceadipose  tissues  [1].  Specifically,  a  FAHFA  comprised  ofpalmitic acid (16:0) esterified to a 9-hydroxyl stearic acid(9-O-18:0),  abbreviated  as  9-PAHSA,  was  discussed  aspromoting  anti-diabetic  and  anti-inflammatory  effects[1].  PAHSA  levels  were  shown  to  be  highly  correlated",s11
1,705,7,0,0,0,0,0,0,0,0,0,0,BODY,*Correspondence:  ofiehn@ucdavis.edu,s11
1,705,5,0,0,0,0,0,0,0,0,0,0,BODY,2,s11
1,705,7,0,0,0,0,0,0,0,0,0,0,BODY,"Department of Biochemistry, Faculty of Sciences, King AbdulazizUniversity, Jeddah, Saudi ArabiaFull list of author information is available at the end of the article",s11
1,588,9,0,0,0,0,0,0,0,0,0,0,BODY,"with  insulin  sensitivity  in  humans  [1].  However,  itremained  unclear  if  other  FAHFAs  might  exert  similareffects,  and  how  many  different  FAHFAs  in  total  mightbe present in mammalian tissues or biofluids.",s11
1,636,9,0,0,0,0,0,0,0,0,0,0,BODY,"Currently only 21 external reference standards are com-mercially available. In order to enable extensive profilingand automatic annotation of FAHFA species, an MS/MSlibrary  with  more  structural  diversity  is  needed.  Today,such  mass  spectral  libraries  can  be  created  by  applyingrules  of  fragmentation  patterns  on  large  in  silico  struc-ture  list,  as  we  have  previously  shown  for  over  200,000mass  spectra  in  LipidBlast  [2]  for  twenty-six  com-mon  lipid  classes  such  as  (lyso)  phosphatidylcholines,",s11
1,754,7,0,0,0,0,0,0,0,0,0,0,BODY,"© 2015 Ma et al. This article is distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, providedyou give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicateif changes were made. The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated.",s11
2,928,8,0,0,0,0,0,0,0,0,0,0,BODY,Ma,s11
2,928,8,0,0,0,0,0,0,0,0,1,0,BODY,et al. J Cheminform  (2015) 7:53,s11
2,928,8,0,0,0,0,0,0,0,0,0,0,BODY,Page 2 of 5,s11
2,1002,12,0,0,0,0,0,0,0,0,0,1,H1,a,s11
2,1098,12,0,0,0,0,0,0,0,0,0,1,BODY,b,s11
2,1193,12,0,0,0,0,0,0,0,0,0,1,H1,c,s11
2,1139,6,0,0,0,0,0,0,0,0,0,0,BODY,×,s11
2,986,9,0,0,0,0,0,0,0,0,0,0,BODY,"monogalactosyldiacylglycerols  or  triacylglycerols.  Lipid-Blast itself has been applied for the annotation of lipids inmouse liver [3], rat urine/serum [4] and in various algaespecies  [5,  6],  demonstrating  that  this  strategy  enablesrapid  annotation  of  many  molecular  species  from  massspectra  [7].  LipidBlast  templates  use  heuristic  informa-tion  of  MS/MS  fragmentation  patterns  to  extend  therange of in silico predicted mass spectra that can be usedto  discover  species  of  novel  lipid  classes.  An  examplehas  been  shown  for  glucuronosyldiacylglycerol  lipids  inplants  [8].  Here  we  used  the  modified  LipidBlast  tem-plates  to  build  an  in  silico  MS/MS  library  for  1089  spe-cies of the novel FAHFA lipid class and demonstrate theapplicability of this new library.",s11
2,1163,10,0,0,0,0,0,0,0,0,0,1,BODY,Results and discussion,s11
2,1163,9,0,0,0,0,0,0,0,0,0,0,BODY,"Negative  mode  electrospray  in  silico  MS/MS  spec-tra  were  modelled  based  on  the  reference  spectra  of9-PAHSA under 10, 20, and 40 V collision induced dis-sociation  (CID)  voltages  acquired  with  UHPLC-QTOFMS/MS profiling methods at 4 spectra/s (Fig. 1a; Addi-tional  file  1).  Under  these  conditions,  major  FAHFAfragment  ions  include  the  precursor  ion,  the  fatty  acidfragment  ion,  and  the  hydroxyl  fatty  acid  fragment  ionincluding its dehydration product. No major differencesin  fragmentations  were  observed  for  either  collisionvoltage, except for decreasing intensity of the precursorion. Several isotopic peaks were observed for both pre-cursor  and  fragment  ions  due  to  the  insufficient  isola-tion prior to the collision induced dissociation; however,such isotope ions were excluded from in silico fragmen-tation  modeling  since  they  could  have  been  avoidedwith  a  narrower  isolation  width.  Acquired  9-PAHSAspectra  were  compared  to  the  published  9-PAHSAMS/MS  spectrum  and  corresponding  multiple  reac-tion  monitoring  (MRM)  fragmentation  transitions  [1].While  the  major  fragmentation  ions  observed  in  our",s11
2,1163,9,0,0,0,0,0,0,0,0,0,0,BODY,"laboratory  were  consistent  with  the  published  spectra,",s11
2,1163,9,0,0,0,0,0,0,0,0,0,0,BODY,"importantly,  the  positional  fragments  of  the  hydroxyl18:0 fatty acid (",s11
2,1163,9,0,0,0,0,0,0,0,0,1,0,BODY,m/z,s11
2,1163,9,0,0,0,0,0,0,0,0,0,0,BODY,"127 and 155) were not observed. Togenerate those fragments (Fig. 1b), MS/MS experimentswith  a  longer  acquisition  time  of  1  spectrum/s  wereperformed  at  40  V  CID,  and",s11
2,1163,9,0,0,0,0,0,0,0,0,1,0,BODY,m/z,s11
2,1163,9,0,0,0,0,0,0,0,0,0,0,BODY,"127.133  and  155.144were observed at relative abundance of 0.2 %. The inten-sity  of  such  secondary  fragmentation  products  couldnot be enhanced by increasing collision voltages on theMS/MS level with QTOF MS/MS acquisition time of 4spectra/s.  Indeed,  these  low  abundant  fragments  wereproven to be secondary fragmentation products of MS/MS ions by using MS",s11
2,1163,6,0,0,0,0,0,0,0,0,0,0,BODY,3,s11
2,1163,9,0,0,0,0,0,0,0,0,0,0,BODY,"fragmentation of the correspond-ing MS/MS ions, using direct infusion of the standardsinto  a  ThermoScientific  Linear  Ion  Trap  LTQ  massspectrometer (Fig. 1c).",s11
2,1295,8,0,0,0,0,0,0,0,0,0,1,H1,Fig. 1,s11
2,1295,8,0,0,0,0,0,0,0,0,0,0,BODY,Experimental and in silico spectra of the model compound9-PAHSA in negative ionization mode.,s11
2,1295,8,0,0,0,0,0,0,0,0,0,1,H1,a,s11
2,1295,8,0,0,0,0,0,0,0,0,0,0,BODY,MS/MS spectra with collisionenergy of 20 V at 4 spectra/s acquired by QTOF;,s11
2,1295,8,0,0,0,0,0,0,0,0,0,1,H1,b,s11
2,1295,8,0,0,0,0,0,0,0,0,0,0,BODY,"MS/MS spectrawith collision energy of 40 V at 1 spectrum/s acquired by QTOF, and",s11
2,1295,8,0,0,0,0,0,0,0,0,0,1,H1,c,s11
2,1295,8,0,0,0,0,0,0,0,0,0,0,BODY,MS/MS and MS,s11
2,1295,5,0,0,0,0,0,0,0,0,0,0,BODY,3,s11
2,1295,8,0,0,0,0,0,0,0,0,0,0,BODY,spectra acquired by LTQ with 20 % collision energy.The actual relative intensities for,s11
2,1295,8,0,0,0,0,0,0,0,0,1,0,H2,m/z,s11
2,1295,8,0,0,0,0,0,0,0,0,0,0,BODY,127 and 155 in figure,s11
2,1295,8,0,0,0,0,0,0,0,0,0,1,H1,b,s11
2,1295,8,0,0,0,0,0,0,0,0,0,0,BODY,) areboth 0.2 %,s11
2,1398,9,0,0,0,0,0,0,0,0,0,0,BODY,"To  expand  the  overall  structure  space  of  the  FAHFAstructures  that  can  be  annotated  by  mass  spectrometry,",s11
2,1398,9,0,0,0,0,0,0,0,0,0,0,BODY,we  used  33  fatty  acids  commonly  found  in  mammalian,s11
2,1398,9,0,0,0,0,0,0,0,0,0,0,BODY,"cells, varying from 14:0–24:6 (Additional file 2) for boththe  free  fatty  acid  and  the  hydroxyl  fatty  acid  moieties[9–11].  1089  general  FAHFA  structures  were  definedand  3267  in  silico  spectra  were  modelled  based  on  thefragmentation  pattern  of  9-PAHSA  observed  at  threecollision  energies.  Since  the  positional  information  ofdouble-bonds and hydroxyl groups could not be reflectedby the reference spectra acquired with the fast 4 spectra/sQTOF  MS/MS  profiling  method,  such  detailed  infor-mation  was  not  specified  in  the  structures  of  FAHFAs.Therefore, the structures in this FAHFA profiling libraryare general, semi-characterized structures. To character-ize  the  position  of  the  hydroxyl  group,  we  built  a  morespecific in silico library based on the fragment-rich spec-tra  at  40  V  modeled  from  1  spectra/s  QTOF  MS/MSacquisition time. According to a patent on FAHFA lipids",s11
3,1772,8,0,0,0,0,0,0,0,0,0,0,BODY,Ma,s11
3,1772,8,0,0,0,0,0,0,0,0,1,0,BODY,et al. J Cheminform  (2015) 7:53,s11
3,1772,8,0,0,0,0,0,0,0,0,0,0,BODY,Page 3 of 5,s11
3,1830,9,0,0,0,0,0,0,0,0,0,0,BODY,"[12], the hydroxyl group may be positioned on all carbonsexcept  for  the  terminal  carbon.  Correspondingly,  4290structures  with  saturated  hydroxyl  fatty  acids  and  satu-rated  or  unsaturated  fatty  acid  esters  were  defined,  andtheir in silico spectra were created based on the referencespectra  of  9-PAHSA  acquired  with  1  spectrum/s  MS/MS method. Due to a lack of published spectra or com-mercially  available  standards,  modeling  for  unsaturatedhydroxyl  fatty  acid  residues  was  excluded.  To  furtherverify  the  position  of  the  hydroxyl  group  we  used  rela-tive retention time information. For the elution order ofthree  commercially  available  OAHSA  isomer  referencestandards, we observed increasing retention times whenthe hydroxyl group was positioned closer to the carbox-ylic  acid  moiety,  with  12-OAHSA  eluting  at  6.07  min,9-OAHSA at 6.21 min and 5-OAHSA eluting at 6.45 minunder the conditions described in the experimental sec-tion.  For  building  a  reliable  retention  time  database  oreven  predicting  retention  times  for  other  FAHFAs,  alarger  range  of  authentic  reference  standards  would  beneeded.",s11
3,2082,9,0,0,0,0,0,0,0,0,0,0,BODY,"The  experimental  MS/MS  spectra  of  5-OAHSA,9-OAHSA  and  12-OAHSA  (Additional  file  1)  were  usedfor validation of the in silico library as they had not beenemployed  in  the  library  generation.  Using  NIST  MSSearch,  all  general  structures  were  correctly  annotatedby  the  in  silico  FAHFA  library  with  a  Reverse-Dot  scoreof  greater  than  950.  Figure  2  shows  an  example  of  theannotation  of  12-OAHSA  at  20  and  40  V  using  4  and  1spectra/s  acquisition  rates.  For  each  case,  the  correctFAHFA was identified, and when using the longer MS/MSacquisition  time,  the  correct  isomer  was  identified,  evenwhen there were slight differences between predicted andexperimentally  observed  ion  intensities  at  specific  col-lision  induced  voltages.  As  further  validation,  negativemode  MS/MS  spectra  of  eight  published  FAHFAs  fromthe  METLIN  [13]  database  were  also  successfully  anno-",s11
3,2082,9,0,0,0,0,0,0,0,0,0,0,BODY,tated using the in silico library (Additional file 3).,s11
3,1830,9,0,0,0,0,0,0,0,0,0,0,BODY,"To validate the usefulness of this new in silico FAHFAlibrary,  we  analyzed  complex  lipids  extracted  from  eggyolk  and  annotated  FAHFAs  by  matching  experimentalto  predicted  MS/MS  spectra.  PAHSA  isomer  levels  inegg yolk were measured using multiple reaction monitor-ing (MRM) in the previously published report [1], but noother FAHFA family members were reported in egg yolk.With  the  in  silico  library,  we  successfully  annotated  sixabundant FAHFAs in egg yolk with <5 mDa errors for theprecursor  ions  and  Reverse-Dot  scores  greater  than  900for  the  MS/MS  matching,  including  four  FAHFA  lipidsthat have never been detected before (Table 1; Fig. 3). Asexample for such novel FAHFA lipids, Fig. 4 compares theexperimental  to  the  in  silico  MS/MS  spectra  of  FAHFA18:2-(O-18:1),  or  LAHOA,  at  a  scan  rate  of  4  spectra/sand 20 V collision energy. Here the positional fragmentswere  not  detected,  suggesting  that  it  is  very  challengingto obtain the positional information from complex mix-tures  in  fast-scanning  LC–MS/MS  experiments.  Theseexamples  demonstrate  that  in  silico  libraries  such  asthe FAHFA library created here are suitable to annotatenovel compounds detected in untargeted UHPLC-QTOFMS/MS  profiling  studies.  We  suggest  that  this  librarymay be used in studies investigating the biological func-tions, regulation and distribution of FAHFAs.",s11
3,2138,10,0,0,0,0,0,0,0,0,0,1,H1,Conclusions,s11
3,2138,9,0,0,0,0,0,0,0,0,0,0,BODY,We  developed  an  in  silico  MS/MS  library  for  FAHFAlipids  with  a  total  of  7557  QTOF  spectra  in  negativeionization mode. The new library enables users to auto-matically  annotate  FAHFAs  in  LC–MS/MS  lipidomicsprofiling  and  can  be  therefore  applied  to  further  stud-ies  of  this  novel  lipid  class.  The  batch  annotation  pro-cess is very easy and fast using NIST MS PepSearch. Wealso  provided  the  Excel  template  for  users  to  adapt  thislibrary to their own instrument features and parametersand  export  customized  libraries.  The  developed  library,s11
3,2138,9,0,0,0,0,0,0,0,0,0,0,BODY,and  templates  are  freely  available  for  commercial  or,s11
3,2319,12,0,0,0,0,0,0,0,0,0,1,BODY,a,s11
3,2319,12,0,0,0,0,0,0,0,0,0,1,BODY,b,s11
3,2360,6,0,0,0,0,0,0,0,0,0,0,BODY,×,s11
3,2430,8,0,0,0,0,0,0,0,0,0,1,FI,Fig. 2,s11
3,2430,8,0,0,0,0,0,0,0,0,0,0,FI,Experimental and in silico MS/MS spectra of one standard for validation 12-OAHSA in negative ionization mode. Spectra were acquired at,s11
3,2430,8,0,0,0,0,0,0,0,0,0,1,FI,a,s11
3,2430,8,0,0,0,0,0,0,0,0,0,0,FI,collision energy of 20 V at 4 spectra/s and,s11
3,2430,8,0,0,0,0,0,0,0,0,0,1,FI,b,s11
3,2430,8,0,0,0,0,0,0,0,0,0,0,FI,"collision energy of 40 V at 1 spectrum/s. The actual relative intensities for m/z 113 and 169 are 0.2 and0.1 %, respectively",s11
4,2615,8,0,0,0,0,0,0,0,0,0,0,BODY,Ma,s11
4,2615,8,0,0,0,0,0,0,0,0,1,0,BODY,et al. J Cheminform  (2015) 7:53,s11
4,2616,8,0,0,0,0,0,0,0,0,0,0,BODY,Page 4 of 5,s11
4,2671,9,0,0,0,0,0,0,0,0,0,1,H1,Table 1  Information about FAHFAs found in egg yolk,s11
4,2688,8,0,0,0,0,0,0,0,0,0,1,TA,Name,s11
4,2688,8,0,0,0,0,0,0,0,0,0,1,TA,Abbrev.,s11
4,2688,8,0,0,0,0,0,0,0,0,0,1,TA,RT (min),s11
4,2688,8,0,0,0,0,0,0,0,0,1,1,TA,m/z,s11
4,2688,8,0,0,0,0,0,0,0,0,0,1,TA,Rev‑dot,s11
4,2671,10,0,0,0,0,0,0,0,0,0,1,H1,Methods,s11
4,2671,9,0,0,0,0,0,0,0,0,0,1,H1,Experimental measurements of standards,s11
4,2706,8,0,0,0,0,0,0,0,0,0,0,BODY,16:0-(O-18:1),s11
4,2718,8,0,0,0,0,0,0,0,0,0,0,BODY,18:1-(O-18:1),s11
4,2730,8,0,0,0,0,0,0,0,0,0,0,BODY,18:1-(O-18:2),s11
4,2742,8,0,0,0,0,0,0,0,0,0,0,BODY,18:2-(O-18:1),s11
4,2754,8,0,0,0,0,0,0,0,0,0,0,BODY,18:2-(O-18:2),s11
4,2706,8,0,0,0,0,0,0,0,0,0,0,BODY,PAHOA,s11
4,2718,8,0,0,0,0,0,0,0,0,0,0,BODY,OAHOA,s11
4,2730,8,0,0,0,0,0,0,0,0,0,0,BODY,OAHLA,s11
4,2742,8,0,0,0,0,0,0,0,0,0,0,BODY,LAHOA,s11
4,2754,8,0,0,0,0,0,0,0,0,0,0,BODY,LAHLA,s11
4,2766,8,0,0,0,0,0,0,0,0,0,0,BODY,18:3-(O-18:1),s11
4,2766,8,0,0,0,0,0,0,0,0,0,0,BODY,ALAHOA,s11
4,2782,7,0,0,0,0,0,0,0,0,1,0,BODY,RT,s11
4,2782,7,0,0,0,0,0,0,0,0,0,0,BODY,retention time,s11
4,2706,8,0,0,0,0,0,0,0,0,0,0,BODY,5.61,s11
4,2718,8,0,0,0,0,0,0,0,0,0,0,BODY,5.61,s11
4,2730,8,0,0,0,0,0,0,0,0,0,0,BODY,5.42,s11
4,2742,8,0,0,0,0,0,0,0,0,0,0,BODY,5.08,s11
4,2754,8,0,0,0,0,0,0,0,0,0,0,BODY,4.87,s11
4,2766,8,0,0,0,0,0,0,0,0,0,0,BODY,4.67,s11
4,2706,8,0,0,0,0,0,0,0,0,0,0,BODY,535.471,s11
4,2718,8,0,0,0,0,0,0,0,0,0,0,BODY,561.485,s11
4,2730,8,0,0,0,0,0,0,0,0,0,0,BODY,559.469,s11
4,2742,8,0,0,0,0,0,0,0,0,0,0,BODY,559.469,s11
4,2754,8,0,0,0,0,0,0,0,0,0,0,BODY,557.454,s11
4,2766,8,0,0,0,0,0,0,0,0,0,0,BODY,557.454,s11
4,2706,8,0,0,0,0,0,0,0,0,0,0,BODY,910,s11
4,2718,8,0,0,0,0,0,0,0,0,0,0,BODY,987,s11
4,2730,8,0,0,0,0,0,0,0,0,0,0,BODY,994,s11
4,2742,8,0,0,0,0,0,0,0,0,0,0,BODY,999,s11
4,2754,8,0,0,0,0,0,0,0,0,0,0,BODY,997,s11
4,2766,8,0,0,0,0,0,0,0,0,0,0,BODY,957,s11
4,2793,7,0,0,0,0,0,0,0,0,1,0,BODY,m/z,s11
4,2793,7,0,0,0,0,0,0,0,0,0,0,BODY,can be used for annotation in future LC-MS profiling experiments,s11
4,2698,9,0,0,0,0,0,0,0,0,0,0,BODY,"FAHFA standards, including 9-PAHSA [16:0-(9-O-18:0)],[18:1-(9-O-[18:1-(5-O-18:0)],  9-OAHSA5-OAHSA18:0)],  and  12-OAHSA  [18:1-(12-O-18:0)],  were  pur-chased  from  Cayman  Chemical  (Ann  Arbor,  MI).  Stocksolution for each lipid standard was prepared in ethanolat 1 mg/mL, and then diluted in methanol to 50 ppm forinjection.  LC–MSMS  acquisition  was  performed  by  anAgilent 1290 HPLC coupled to an Agilent 6530 quadru-pole time of flight (QTOF) mass spectrometer. A WatersAcquity  CSH  C18  column  (2.1",s11
4,2698,9,0,0,0,0,0,0,0,0,0,0,BODY,×,s11
4,2698,9,0,0,0,0,0,0,0,0,0,0,BODY,"100  mm,  1.7  μM)  wasused  for  separation.  Mobile  phase  A  consisted  of  60:40acetonitrile:water  while  mobile  phase  B  consisted  of90:10 isopropanol:acetonitrile, both with 9.2 mM ammo-nium acetate. Column temperature was set to 65 °C andthe  flow  rate  was  0.6  mL/min.  The  following  gradientwas  applied:  0–2  min  from  15  %  B–30  %  B,  2–2.5  minfrom  30  %  B–48  %  B,  2.5–11  min  from  48  %  B–82  %  B,11–11.5 min from 82–99 % B, 11.5–12 min remain 99 %B, 12–12.1 from 99 % B–15 % B, 12.1–15 min re-equili-brate at 15 % B. 3 µL of each standard as well as a mix-ture of the four standards were injected. MS and MS/MSdata was collected in negative ionization mode, in profileand centroid mode with a scan rate of 4 spectra per sec-ond.  Multiple  collision  energies  were  applied,  including10,  20  and  40  V.  In  addition,  MS/MS  data  was  acquiredspecifically  for",s11
4,2698,9,0,0,0,0,0,0,0,0,1,0,BODY,m/z,s11
